externalId,name,lat,lng,address,sourceUrl
osm:n3798977323,ABC焼津三和店,34.8327128,138.3055733,用宗街道,https://www.openstreetmap.org/node/3798977323
osm:n3798981300,ABC藤枝緑町店,34.8664896,138.2597577,国道1号線;東海道,https://www.openstreetmap.org/node/3798981300
osm:n3799051140,ABC富士宮万野原店,35.2433538,138.6216242,静岡県道180号富士宮富士公園線,https://www.openstreetmap.org/node/3799051140
osm:n3799081496,ABC韮崎竜岡店,35.6947738,138.4583499,富士川街道 (Fujikawa-Kaido),https://www.openstreetmap.org/node/3799081496
