externalId,lat,lng,prefectureSlug,address,sourceUrl
osm:w104947046,37.1446336,140.9957872,fukushima,,https://www.openstreetmap.org/way/104947046
osm:w105678994,37.0586701,140.9008715,fukushima,,https://www.openstreetmap.org/way/105678994
osm:w106232655,36.659844,140.707226,ibaraki,,https://www.openstreetmap.org/way/106232655
osm:w106647228,37.0607436,140.9227335,fukushima,,https://www.openstreetmap.org/way/106647228
osm:w121541326,31.5479251,130.5447556,kagoshima,,https://www.openstreetmap.org/way/121541326
osm:w151882670,34.6664525,135.4549071,osaka,,https://www.openstreetmap.org/way/151882670
osm:w155917514,35.6608155,139.4146285,tokyo,,https://www.openstreetmap.org/way/155917514
osm:w161216019,36.1470057,139.5384961,saitama,,https://www.openstreetmap.org/way/161216019
osm:w161224531,36.1806349,139.5124022,saitama,,https://www.openstreetmap.org/way/161224531
osm:w161840278,36.7549712,138.3588027,nagano,,https://www.openstreetmap.org/way/161840278
osm:w161840368,36.7483568,138.3518572,nagano,,https://www.openstreetmap.org/way/161840368
osm:w177314248,39.70152,140.1104538,akita,,https://www.openstreetmap.org/way/177314248
osm:w181684017,34.8174198,136.5720449,mie,,https://www.openstreetmap.org/way/181684017
osm:w182849603,34.4756626,132.4891123,hiroshima,,https://www.openstreetmap.org/way/182849603
osm:w188284475,36.5804401,136.6515261,ishikawa,,https://www.openstreetmap.org/way/188284475
osm:w191537769,36.0867794,136.2270946,fukui,,https://www.openstreetmap.org/way/191537769
osm:w194733765,36.0845376,136.2086329,fukui,,https://www.openstreetmap.org/way/194733765
osm:w201289368,34.947456,135.7147117,kyoto,,https://www.openstreetmap.org/way/201289368
osm:w203942344,43.1846996,141.3149239,hokkaido,,https://www.openstreetmap.org/way/203942344
osm:w208245568,36.5989113,136.6800103,ishikawa,,https://www.openstreetmap.org/way/208245568
osm:w208246882,36.6066983,136.6692921,ishikawa,,https://www.openstreetmap.org/way/208246882
osm:w208362467,36.615679,136.6830817,ishikawa,,https://www.openstreetmap.org/way/208362467
osm:w209170958,34.684685,135.8012068,nara,,https://www.openstreetmap.org/way/209170958
osm:w217444209,43.0746391,141.3791496,hokkaido,,https://www.openstreetmap.org/way/217444209
osm:w226185693,43.0498146,144.8549076,hokkaido,,https://www.openstreetmap.org/way/226185693
osm:w234105692,34.9782928,135.8161358,kyoto,,https://www.openstreetmap.org/way/234105692
osm:w234120204,34.9728369,135.8144322,kyoto,,https://www.openstreetmap.org/way/234120204
osm:w246094165,36.4219521,139.2609853,gunma,,https://www.openstreetmap.org/way/246094165
osm:w257258300,34.6481264,135.5241888,osaka,,https://www.openstreetmap.org/way/257258300
osm:w261871618,34.8160725,135.5773313,osaka,,https://www.openstreetmap.org/way/261871618
osm:w264442728,35.8845782,140.6740022,ibaraki,,https://www.openstreetmap.org/way/264442728
osm:w268298314,33.5597874,130.209858,fukuoka,,https://www.openstreetmap.org/way/268298314
osm:w283959798,35.7186184,140.0660781,chiba,,https://www.openstreetmap.org/way/283959798
osm:w290267859,36.5751334,139.9013595,tochigi,,https://www.openstreetmap.org/way/290267859
osm:w307892979,37.203192,139.7808825,fukushima,,https://www.openstreetmap.org/way/307892979
osm:w310429632,38.8909401,141.5693516,iwate,,https://www.openstreetmap.org/way/310429632
osm:w315283572,34.0361675,133.9613434,tokushima,,https://www.openstreetmap.org/way/315283572
osm:w318025432,35.7856893,139.4738478,saitama,,https://www.openstreetmap.org/way/318025432
osm:w322779817,35.4480164,136.5713346,gifu,,https://www.openstreetmap.org/way/322779817
osm:w341477977,39.3683202,140.0685874,akita,,https://www.openstreetmap.org/way/341477977
osm:w343555183,37.9355024,139.0885213,niigata,,https://www.openstreetmap.org/way/343555183
osm:w371715039,31.3409003,130.9246414,kagoshima,,https://www.openstreetmap.org/way/371715039
osm:w380093226,43.0297252,141.3454734,hokkaido,,https://www.openstreetmap.org/way/380093226
osm:w384993832,43.028597,141.3677875,hokkaido,,https://www.openstreetmap.org/way/384993832
osm:w386501761,43.0321101,141.3798686,hokkaido,,https://www.openstreetmap.org/way/386501761
osm:w388841669,36.4935354,140.0927657,tochigi,,https://www.openstreetmap.org/way/388841669
osm:w403273722,35.4877778,134.2400241,tottori,,https://www.openstreetmap.org/way/403273722
osm:w408288658,34.409809,132.7147721,hiroshima,,https://www.openstreetmap.org/way/408288658
osm:w409053409,36.3259552,139.4329461,gunma,,https://www.openstreetmap.org/way/409053409
osm:w412644028,34.1172516,134.4288294,tokushima,,https://www.openstreetmap.org/way/412644028
osm:w413045550,34.7734738,137.9815973,shizuoka,,https://www.openstreetmap.org/way/413045550
osm:w423880868,36.4927147,139.8607808,tochigi,,https://www.openstreetmap.org/way/423880868
osm:w424764812,35.5182671,134.2074549,tottori,,https://www.openstreetmap.org/way/424764812
osm:w425963587,36.2858022,139.8058764,tochigi,,https://www.openstreetmap.org/way/425963587
osm:w426152386,36.4286151,139.9056359,tochigi,,https://www.openstreetmap.org/way/426152386
osm:w426958256,34.3478718,134.0134643,kagawa,,https://www.openstreetmap.org/way/426958256
osm:w427154345,36.5012676,139.9118671,tochigi,,https://www.openstreetmap.org/way/427154345
osm:w429972775,36.3077769,139.8378338,tochigi,,https://www.openstreetmap.org/way/429972775
osm:w441599518,34.8043411,137.3459036,aichi,,https://www.openstreetmap.org/way/441599518
osm:w448889583,43.0850004,141.5166637,hokkaido,,https://www.openstreetmap.org/way/448889583
osm:w452059213,39.449407,140.4985822,akita,,https://www.openstreetmap.org/way/452059213
osm:w452059215,39.4497158,140.4972494,akita,,https://www.openstreetmap.org/way/452059215
osm:w452796372,34.6983681,137.3594092,aichi,,https://www.openstreetmap.org/way/452796372
osm:w455515954,43.0203055,141.4877819,hokkaido,,https://www.openstreetmap.org/way/455515954
osm:w456536839,35.4896083,139.4642056,kanagawa,,https://www.openstreetmap.org/way/456536839
osm:w458176342,34.0352982,134.566444,tokushima,,https://www.openstreetmap.org/way/458176342
osm:w458176344,34.0351305,134.5665631,tokushima,,https://www.openstreetmap.org/way/458176344
osm:w458711345,34.8291051,136.5793691,mie,,https://www.openstreetmap.org/way/458711345
osm:w459089649,35.4806589,139.4648914,kanagawa,,https://www.openstreetmap.org/way/459089649
osm:w462838242,28.386676,129.5410901,kagoshima,,https://www.openstreetmap.org/way/462838242
osm:w463232803,35.1739996,138.9086301,shizuoka,,https://www.openstreetmap.org/way/463232803
osm:w467844210,36.2305481,139.3709179,gunma,,https://www.openstreetmap.org/way/467844210
osm:w469897132,32.7418526,129.8737145,nagasaki,,https://www.openstreetmap.org/way/469897132
osm:w473541800,35.8882469,137.9868212,nagano,,https://www.openstreetmap.org/way/473541800
osm:w473817735,44.1148285,144.0672777,hokkaido,,https://www.openstreetmap.org/way/473817735
osm:w485844709,35.3548407,136.7704267,gifu,,https://www.openstreetmap.org/way/485844709
osm:w488659038,43.7907292,142.4012656,hokkaido,,https://www.openstreetmap.org/way/488659038
osm:w493237909,33.5348262,131.328446,oita,,https://www.openstreetmap.org/way/493237909
osm:w494953760,30.4280262,130.569707,kagoshima,,https://www.openstreetmap.org/way/494953760
osm:w497415060,35.0228759,135.9811666,shiga,,https://www.openstreetmap.org/way/497415060
osm:w498743182,33.1871126,131.5779449,oita,,https://www.openstreetmap.org/way/498743182
osm:w503398565,36.1718991,139.5493773,saitama,,https://www.openstreetmap.org/way/503398565
osm:w503986346,36.1703939,139.576116,saitama,,https://www.openstreetmap.org/way/503986346
osm:w504335806,36.1828631,139.5010222,saitama,,https://www.openstreetmap.org/way/504335806
osm:w504521342,33.5344621,131.3250842,oita,,https://www.openstreetmap.org/way/504521342
osm:w508548031,33.3177776,130.9374534,fukuoka,,https://www.openstreetmap.org/way/508548031
osm:w510741270,36.229516,139.5199017,saitama,,https://www.openstreetmap.org/way/510741270
osm:w514923377,34.7993934,135.7843875,nara,,https://www.openstreetmap.org/way/514923377
osm:w515090953,34.6704323,135.806616,nara,,https://www.openstreetmap.org/way/515090953
osm:w517455775,35.0104873,137.0236939,aichi,,https://www.openstreetmap.org/way/517455775
osm:w521736880,35.3977555,139.293422,kanagawa,,https://www.openstreetmap.org/way/521736880
osm:w529093083,43.2225132,141.7884683,hokkaido,,https://www.openstreetmap.org/way/529093083
osm:w538624337,36.147022,139.5384676,saitama,,https://www.openstreetmap.org/way/538624337
osm:w540657431,36.7067971,137.2404297,toyama,,https://www.openstreetmap.org/way/540657431
osm:w544945150,28.3960261,129.5252264,kagoshima,,https://www.openstreetmap.org/way/544945150
osm:w545015231,35.5878102,138.4963306,yamanashi,,https://www.openstreetmap.org/way/545015231
osm:w545034797,43.0487862,141.8025159,hokkaido,,https://www.openstreetmap.org/way/545034797
osm:w545684509,33.2748005,130.3139037,saga,,https://www.openstreetmap.org/way/545684509
osm:w546234687,28.3986225,129.5179164,kagoshima,,https://www.openstreetmap.org/way/546234687
